name,calories,protein,carbs,fat,category,veg
White Rice (cooked),130,2.7,28.2,0.3,Grains,True
Brown Rice (cooked),111,2.6,23.0,0.9,Grains,True
Basmati Rice (cooked),121,3.5,25.2,0.4,Grains,True
Chapati,104,3.1,18.0,2.5,Grains,True
Whole Wheat Chapati,100,3.5,17.0,2.3,Grains,True
Idli (1 piece),39,1.9,7.9,0.1,Grains,True
Dosa,168,3.9,25.0,6.0,Grains,True
Poha,180,3.5,35.0,4.0,Grains,True
Upma,170,4.0,28.0,5.0,Grains,True
Paratha (plain),260,5.0,36.0,10.0,Grains,True
Aloo Paratha,320,6.0,45.0,13.0,Grains,True
Gobi Paratha,300,6.5,42.0,11.0,Grains,True
Paneer Paratha,350,12.0,38.0,16.0,Grains,True
Bread White (1 slice),79,2.7,15.0,1.0,Grains,True
Bread Brown (1 slice),69,3.5,12.0,1.0,Grains,True
Oats (cooked),71,2.5,12.0,1.5,Grains,True
Cornflakes,357,8.0,84.0,0.4,Grains,True
Muesli,367,10.0,66.0,7.0,Grains,True
Puri (1 piece),150,2.5,18.0,8.0,Grains,True
Naan,262,8.7,45.0,5.1,Grains,True
Kulcha,240,7.0,42.0,5.0,Grains,True
Bhatura,310,7.0,45.0,12.0,Grains,True
Rava Upma,165,3.5,27.0,5.0,Grains,True
Vermicelli Upma,180,4.0,32.0,4.5,Grains,True
Semiya Payasam,220,5.0,38.0,6.0,Grains,True
Rava Idli,90,3.0,15.0,2.5,Grains,True
Uttapam,198,5.5,32.0,5.5,Grains,True
Pesarattu,160,8.0,24.0,4.0,Grains,True
Akki Roti,190,3.5,38.0,2.5,Grains,True
Jowar Roti,97,3.2,20.0,1.0,Grains,True
Bajra Roti,105,3.6,21.0,1.5,Grains,True
Ragi Mudde,145,3.0,30.0,0.8,Grains,True
Ragi Dosa,140,4.0,25.0,3.0,Grains,True
Idiyappam,170,2.5,37.0,0.5,Grains,True
Appam,120,2.0,24.0,1.5,Grains,True
Puttu,180,3.5,38.0,1.0,Grains,True
Pongal,220,5.0,38.0,7.0,Grains,True
Khichdi,190,7.0,32.0,4.5,Grains,True
Pulao,210,4.5,38.0,5.0,Grains,True
Jeera Rice,155,3.0,30.0,3.5,Grains,True
Chicken Breast (cooked),165,31.0,0.0,3.6,Protein,False
Chicken Thigh (cooked),209,26.0,0.0,11.0,Protein,False
Chicken Drumstick,185,24.0,0.0,9.5,Protein,False
Chicken Wings,203,19.0,0.0,13.5,Protein,False
Tandoori Chicken (100g),195,25.0,4.0,9.0,Protein,False
Chicken Tikka (100g),180,26.0,3.0,7.0,Protein,False
Mutton (cooked),294,25.0,0.0,21.0,Protein,False
Mutton Keema (100g),280,22.0,2.0,20.0,Protein,False
Beef (cooked),250,26.0,0.0,16.0,Protein,False
Pork (cooked),242,27.0,0.0,14.0,Protein,False
Egg whole boiled,78,6.3,0.6,5.3,Protein,True
Egg White,17,3.6,0.2,0.1,Protein,True
Egg Yolk,55,2.7,0.6,4.5,Protein,True
Scrambled Eggs (2 eggs),182,12.0,1.5,14.0,Protein,True
Omelette (2 eggs),190,13.0,1.0,15.0,Protein,True
Tuna (canned),116,25.5,0.0,1.0,Protein,False
Salmon (cooked),208,20.0,0.0,13.0,Protein,False
Prawns (cooked),99,21.0,0.0,1.1,Protein,False
Fish Curry (100g),150,15.0,5.0,8.0,Protein,False
Rohu Fish (cooked),97,17.0,0.0,3.0,Protein,False
Mackerel (cooked),205,19.0,0.0,14.0,Protein,False
Sardines (canned),191,23.0,0.0,11.0,Protein,False
Crab (cooked),97,19.0,0.0,1.8,Protein,False
Paneer (100g),265,18.3,1.2,20.8,Protein,True
Tofu (100g),76,8.0,1.9,4.8,Protein,True
Moong Dal (cooked),105,7.0,18.0,0.4,Protein,True
Chana Dal (cooked),164,9.0,27.0,2.6,Protein,True
Toor Dal (cooked),116,6.8,20.0,0.4,Protein,True
Urad Dal (cooked),105,7.5,18.0,0.5,Protein,True
Masoor Dal (cooked),116,9.0,20.0,0.4,Protein,True
